year,quarter,region,age_group,sex,value,unit,source
2558,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,รวม,38330.42,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,ชาย,20776.31,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,หญิง,17554.11,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,รวม,38370.99,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,ชาย,20853.19,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,หญิง,17517.79,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,รวม,37684.24,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,ชาย,20497.22,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,หญิง,17187.03,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,รวม,37393.47,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,ชาย,20439.28,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,หญิง,16954.19,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,รวม,38263.17,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,ชาย,20741.48,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,หญิง,17521.69,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,รวม,37429.72,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,ชาย,20410.85,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,หญิง,17018.87,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,รวม,37443.20,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,ชาย,20392.68,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,หญิง,17050.52,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,รวม,37538.34,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,ชาย,20430.08,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,หญิง,17108.26,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,รวม,37646.88,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,ชาย,20531.62,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,หญิง,17115.26,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,รวม,37204.58,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,ชาย,20338.29,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,หญิง,16866.29,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,รวม,37361.48,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,ชาย,20390.64,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,หญิง,16970.84,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,รวม,37884.46,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,ชาย,20632.70,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,หญิง,17251.76,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,รวม,38301.02,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,ชาย,20869.86,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,หญิง,17431.17,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,รวม,37911.24,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,ชาย,20625.44,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,หญิง,17285.80,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,รวม,37702.70,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,ชาย,20428.82,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,หญิง,17273.88,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,รวม,37781.80,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,ชาย,20560.87,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,หญิง,17220.94,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,รวม,37486.33,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,ชาย,20467.52,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,หญิง,17018.81,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,รวม,37482.92,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,ชาย,20408.23,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,หญิง,17074.70,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,รวม,37424.21,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,ชาย,20264.07,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ทั่วประเทศ ,รวม,หญิง,17160.14,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,รวม,37080.76,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,ชาย,20259.48,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 2,ทั่วประเทศ ,รวม,หญิง,16821.28,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,รวม,37927.00,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,ชาย,20560.64,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 3,ทั่วประเทศ ,รวม,หญิง,17366.36,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,รวม,38288.83,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,ชาย,20725.41,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 4,ทั่วประเทศ ,รวม,หญิง,17563.42,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,รวม,1168.00,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,ชาย,778.10,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,หญิง,379.90,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,รวม,1259.50,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,ชาย,823.00,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,หญิง,436.50,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,รวม,1234.80,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,ชาย,805.10,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,หญิง,429.70,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,รวม,1240.10,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,ชาย,823.20,พันคน,สำนักงานสถิติแห่งชาติ
2555,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,หญิง,416.90,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,รวม,1082.24,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,ชาย,723.85,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,หญิง,358.39,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,รวม,1182.47,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,ชาย,795.85,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,หญิง,386.62,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,รวม,1076.25,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,ชาย,751.56,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,หญิง,324.69,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,รวม,1018.28,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,ชาย,698.66,พันคน,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,หญิง,319.62,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,รวม,968.70,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,ชาย,662.80,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,หญิง,305.90,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,รวม,968.10,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,ชาย,659.30,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,หญิง,308.90,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,รวม,902.10,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,ชาย,621.70,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,หญิง,280.50,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,รวม,908.40,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,ชาย,616.30,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,หญิง,292.10,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,รวม,843.94,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,ชาย,577.00,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,หญิง,266.93,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,รวม,894.24,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,ชาย,587.41,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,หญิง,306.83,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,รวม,844.18,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,ชาย,577.54,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,หญิง,266.63,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,รวม,910.99,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,ชาย,628.84,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,หญิง,282.15,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,รวม,829.95,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,ชาย,542.12,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,หญิง,287.82,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,รวม,856.00,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,ชาย,557.49,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,หญิง,298.51,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,รวม,861.67,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,ชาย,585.24,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,หญิง,276.43,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,รวม,796.69,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,ชาย,537.14,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,หญิง,259.55,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,รวม,818.82,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,ชาย,552.43,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,หญิง,266.39,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,รวม,805.04,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,ชาย,527.91,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,หญิง,277.13,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,รวม,780.97,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,ชาย,520.17,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,หญิง,260.80,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,รวม,734.17,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,ชาย,488.55,พันคน,สำนักงานสถิติแห่งชาติ
2560,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,หญิง,245.62,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,รวม,747.76,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,ชาย,516.88,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,หญิง,230.88,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,รวม,717.35,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,ชาย,479.57,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,หญิง,237.77,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,รวม,861.26,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,ชาย,563.84,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,หญิง,297.42,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,รวม,774.96,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,ชาย,543.54,พันคน,สำนักงานสถิติแห่งชาติ
2561,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,หญิง,231.42,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,รวม,672.88,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,ชาย,460.87,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,หญิง,212.01,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,รวม,684.41,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,ชาย,480.91,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 2,ทั่วประเทศ ,15-19 ปี,หญิง,203.50,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,รวม,615.96,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,ชาย,429.54,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 3,ทั่วประเทศ ,15-19 ปี,หญิง,186.41,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,รวม,669.95,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,ชาย,465.92,พันคน,สำนักงานสถิติแห่งชาติ
2562,ไตรมาสที่ 4,ทั่วประเทศ ,15-19 ปี,หญิง,204.03,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,รวม,615.47,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,ชาย,424.82,พันคน,สำนักงานสถิติแห่งชาติ
2563,ไตรมาสที่ 1,ทั่วประเทศ ,15-19 ปี,หญิง,190.65,พันคน,สำนักงานสถิติแห่งชาติ
