year,quarter,region,area,level_of_edu,value,unit,source
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6202.00,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4477.41,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1313.35,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),8.87,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),4850.87,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),1930.57,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),684.65,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อื่นๆ,102.45,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ไม่ทราบ,175.20,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,รวม,38262.06,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1315.14,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,8319.71,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ประถมศึกษา,8733.78,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6122.52,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4568.18,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1339.45,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),5.40,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),5003.39,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),1911.63,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),700.67,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อื่นๆ,87.65,พันคน,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ไม่ทราบ,154.53,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,รวม,37611.52,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1247.58,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ต่ำกว่าประถม ศึกษา,7948.27,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ประถม ศึกษา,8508.14,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,5938.40,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4576.67,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1341.67,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),6.61,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),5056.42,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),1959.43,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),718.55,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อื่นๆ,146.76,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ไม่ทราบ,163.01,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,รวม,37751.75,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1298.84,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,8051.13,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ประถมศึกษา,8424.35,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,5962.67,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4619.28,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1361.36,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),4.12,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),4951.60,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),2042.38,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),718.18,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อื่นๆ,147.03,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ไม่ทราบ,170.83,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,รวม,38330.42,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1258.02,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,8330.52,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ประถมศึกษา,8479.11,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6033.42,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4693.38,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1396.91,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),6.25,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),5022.23,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),2069.65,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),709.06,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,อื่นๆ,127.69,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,ไม่ทราบ,204.19,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,รวม,38370.99,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1250.90,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,8124.06,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ประถมศึกษา,8580.02,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6088.59,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4766.32,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1292.65,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),4.61,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),5155.52,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),2070.61,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),722.88,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,อื่นๆ,124.82,พันคน,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,ไม่ทราบ,190.01,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,รวม,37684.24,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1236.80,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ต่ำกว่าประถม ศึกษา,7710.06,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ประถม ศึกษา,8434.43,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,6068.27,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4753.88,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1333.96,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),2.80,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),5140.08,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),2009.78,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการศึกษา),738.79,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,อื่นๆ,100.39,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ไม่ทราบ,155.01,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,รวม,37393.47,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ไม่มีการศึกษา,1171.43,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ต่ำกว่าประถมศึกษา,7596.86,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,ประถมศึกษา,8421.12,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนต้น,5993.51,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายสามัญ),4692.06,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา),1375.59,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,มัธยมศึกษาตอนปลาย (สายวิชาการศึกษา),5.00,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาการ),5104.98,พันคน,สำนักงานสถิติแห่งชาติ
2559,ไตรมาสที่ 2,ทั่วประเทศ,รวม,อุดมศึกษา (สายวิชาชีพ),2019.45,พันคน,สำนักงานสถิติแห่งชาติ
